Cuenca;Estación;Fecha;Hora;Lluvia (mm)
84;193;21/08/2008;400;0.0
84;193;21/08/2008;500;0.0
84;193;21/08/2008;600;0.0
84;193;21/08/2008;700;0.0
84;193;21/08/2008;800;0.0
84;193;21/08/2008;900;0.0
84;193;21/08/2008;1000;0.0
84;193;21/08/2008;1100;0.0
84;193;21/08/2008;1200;0.0
84;193;21/08/2008;1300;0.0
84;193;21/08/2008;1400;0.0
84;193;21/08/2008;1500;0.0
84;193;21/08/2008;1600;1.3
84;193;21/08/2008;1700;0.1
84;193;21/08/2008;1800;0.0
84;193;21/08/2008;1900;0.0
84;193;21/08/2008;2000;0.0
84;193;21/08/2008;2100;0.0
84;193;21/08/2008;2200;0.0
84;193;21/08/2008;2300;0.0
84;193;21/08/2008;2400;0.0
84;193;22/08/2008;100;0.0
84;193;22/08/2008;200;0.0
84;193;22/08/2008;300;0.0
84;193;22/08/2008;400;0.0
84;193;22/08/2008;500;1.1
84;193;22/08/2008;600;0.1
84;193;22/08/2008;700;0.0
84;193;22/08/2008;800;0.0
84;193;22/08/2008;900;0.1
84;193;22/08/2008;1000;0.0
84;193;22/08/2008;1100;0.0
84;193;22/08/2008;1200;0.0
84;193;22/08/2008;1300;0.0
84;193;22/08/2008;1400;0.0
84;193;22/08/2008;1500;0.0
84;193;22/08/2008;1600;0.0
84;193;22/08/2008;1700;0.0
84;193;22/08/2008;1800;4.1
84;193;22/08/2008;1900;1.6
84;193;22/08/2008;2000;0.1
84;193;22/08/2008;2100;0.0
84;193;22/08/2008;2200;0.0
84;193;22/08/2008;2300;0.0
84;193;22/08/2008;2400;0.0
84;193;23/08/2008;100;0.0
84;193;23/08/2008;200;0.0
84;193;23/08/2008;300;0.0
84;193;23/08/2008;400;0.0
84;193;23/08/2008;500;0.0
84;193;23/08/2008;600;0.0
84;193;23/08/2008;700;0.0
84;193;23/08/2008;800;0.0
84;193;23/08/2008;900;0.0
84;193;23/08/2008;1000;0.0
84;193;23/08/2008;1100;0.0
84;193;23/08/2008;1200;0.0
84;193;23/08/2008;1300;0.7
84;193;23/08/2008;1400;0.4
84;193;23/08/2008;1500;0.0
84;193;23/08/2008;1600;0.5
84;193;23/08/2008;1700;0.4
84;193;23/08/2008;1800;0.2
84;193;23/08/2008;1900;0.0
84;193;23/08/2008;2000;0.0
84;193;23/08/2008;2100;0.0
84;193;23/08/2008;2200;0.0
84;193;23/08/2008;2300;0.0
84;193;23/08/2008;2400;0.0
84;193;24/08/2008;100;0.0
84;193;24/08/2008;200;0.0
84;193;24/08/2008;300;0.0
84;193;24/08/2008;400;0.0
84;193;24/08/2008;500;0.0
84;193;24/08/2008;600;0.0
84;193;24/08/2008;700;0.0
84;193;24/08/2008;800;0.0
84;193;24/08/2008;900;0.0
84;193;24/08/2008;1000;0.0
84;193;24/08/2008;1100;0.0
84;193;24/08/2008;1200;0.0
84;193;24/08/2008;1300;0.0
84;193;24/08/2008;1400;0.0
84;193;24/08/2008;1500;0.0
84;193;24/08/2008;1600;0.4
84;193;24/08/2008;1700;0.6
84;193;24/08/2008;1800;0.8
84;193;24/08/2008;1900;0.3
84;193;24/08/2008;2000;0.0
84;193;24/08/2008;2100;0.0
84;193;24/08/2008;2200;0.0
84;193;24/08/2008;2300;1.4
84;193;24/08/2008;2400;0.4
84;193;25/08/2008;100;0.0
84;193;25/08/2008;200;0.0
84;193;25/08/2008;300;0.0
84;193;25/08/2008;400;0.2
84;193;25/08/2008;500;0.0
84;193;25/08/2008;600;0.0
84;193;25/08/2008;700;0.0
84;193;25/08/2008;800;0.0
84;193;25/08/2008;900;0.0
84;193;25/08/2008;1000;0.0
84;193;25/08/2008;1100;0.0
84;193;25/08/2008;1200;0.0
84;193;25/08/2008;1300;0.0
84;193;25/08/2008;1400;0.0
84;193;25/08/2008;1500;0.0
84;193;25/08/2008;1600;5.8
84;193;25/08/2008;1700;3.1
84;193;25/08/2008;1800;0.4
84;193;25/08/2008;1900;0.2
84;193;25/08/2008;2000;2.3
84;193;25/08/2008;2100;2.5
84;193;25/08/2008;2200;0.3
84;193;25/08/2008;2300;0.0
84;193;25/08/2008;2400;0.0
84;193;26/08/2008;100;0.0
84;193;26/08/2008;200;0.1
84;193;26/08/2008;300;0.0
84;193;26/08/2008;400;0.0
84;193;26/08/2008;500;0.0
84;193;26/08/2008;600;0.0
84;193;26/08/2008;700;0.0
84;193;26/08/2008;800;0.0
84;193;26/08/2008;900;0.0
84;193;26/08/2008;1000;0.0
84;193;26/08/2008;1100;0.0
84;193;26/08/2008;1200;0.0
84;193;26/08/2008;1300;0.0
84;193;26/08/2008;1400;0.0
84;193;26/08/2008;1500;0.0
84;193;26/08/2008;1600;0.0
84;193;26/08/2008;1700;0.0
84;193;26/08/2008;1800;0.0
84;193;26/08/2008;1900;0.0
84;193;26/08/2008;2000;0.1
84;193;26/08/2008;2100;0.0
84;193;26/08/2008;2200;0.0
84;193;26/08/2008;2300;0.0
84;193;26/08/2008;2400;0.0
84;193;27/08/2008;100;0.0
84;193;27/08/2008;200;0.0
84;193;27/08/2008;300;0.0
84;193;27/08/2008;400;0.0
84;193;27/08/2008;500;0.0
84;193;27/08/2008;600;0.0
84;193;27/08/2008;700;0.0
84;193;27/08/2008;800;0.0
84;193;27/08/2008;900;0.0
84;193;27/08/2008;1000;0.0
84;193;27/08/2008;1100;0.0
84;193;27/08/2008;1200;0.0
84;193;27/08/2008;1300;0.0
84;193;27/08/2008;1400;0.0
84;193;27/08/2008;1500;0.0
84;193;27/08/2008;1600;0.0
84;193;27/08/2008;1700;0.0
84;193;27/08/2008;1800;0.5
84;193;27/08/2008;1900;0.0
84;193;27/08/2008;2000;0.0
84;193;27/08/2008;2100;0.0
84;193;27/08/2008;2200;0.0
84;193;27/08/2008;2300;0.0
84;193;27/08/2008;2400;0.0
84;193;28/08/2008;100;0.0
84;193;28/08/2008;200;0.2
84;193;28/08/2008;300;0.6
84;193;28/08/2008;400;0.0
84;193;28/08/2008;500;0.0
84;193;28/08/2008;600;0.0
84;193;28/08/2008;700;0.0
84;193;28/08/2008;800;0.0
84;193;28/08/2008;900;0.0
84;193;28/08/2008;1000;0.0
84;193;28/08/2008;1100;0.0
84;193;28/08/2008;1200;0.0
84;193;28/08/2008;1300;0.0
84;193;28/08/2008;1400;0.1
84;193;28/08/2008;1500;1.9
84;193;28/08/2008;1600;1.1
84;193;28/08/2008;1700;3.3
84;193;28/08/2008;1800;2.0
84;193;28/08/2008;1900;0.0
84;193;28/08/2008;2000;0.0
84;193;28/08/2008;2100;0.7
84;193;28/08/2008;2200;0.6
84;193;28/08/2008;2300;0.1
84;193;28/08/2008;2400;0.0
84;193;29/08/2008;100;0.0
84;193;29/08/2008;200;0.0
84;193;29/08/2008;300;0.0
84;193;29/08/2008;400;0.0
84;193;29/08/2008;500;0.0
84;193;29/08/2008;600;0.0
84;193;29/08/2008;700;0.0
84;193;29/08/2008;800;0.0
84;193;29/08/2008;900;0.0
84;193;29/08/2008;1000;0.0
84;193;29/08/2008;1100;0.0
84;193;29/08/2008;1200;0.0
84;193;29/08/2008;1300;0.0
84;193;29/08/2008;1400;0.0
84;193;29/08/2008;1500;0.0
84;193;29/08/2008;1600;0.2
84;193;29/08/2008;1700;0.4
84;193;29/08/2008;1800;0.5
84;193;29/08/2008;1900;4.7
84;193;29/08/2008;2000;1.4
84;193;29/08/2008;2100;1.3
84;193;29/08/2008;2200;0.3
84;193;29/08/2008;2300;0.1
84;193;29/08/2008;2400;0.1
84;193;30/08/2008;100;0.1
84;193;30/08/2008;200;0.0
84;193;30/08/2008;300;0.0
84;193;30/08/2008;400;0.0
84;193;30/08/2008;500;0.0
84;193;30/08/2008;600;0.0
84;193;30/08/2008;700;0.0
84;193;30/08/2008;800;0.0
84;193;30/08/2008;900;0.0
84;193;30/08/2008;1000;0.0
84;193;30/08/2008;1100;0.0
84;193;30/08/2008;1200;0.7
84;193;30/08/2008;1300;11.5
84;193;30/08/2008;1400;1.4
84;193;30/08/2008;1500;0.1
84;193;30/08/2008;1600;0.0
84;193;30/08/2008;1700;0.7
84;193;30/08/2008;1800;11.1
84;193;30/08/2008;1900;2.9
84;193;30/08/2008;2000;0.0
84;193;30/08/2008;2100;0.0
84;193;30/08/2008;2200;0.0
84;193;30/08/2008;2300;0.0
84;193;30/08/2008;2400;0.0
84;193;31/08/2008;100;0.0
84;193;31/08/2008;200;0.0
84;193;31/08/2008;300;0.0
84;193;31/08/2008;400;0.0
84;193;31/08/2008;500;0.0
84;193;31/08/2008;600;0.0
84;193;31/08/2008;700;0.0
84;193;31/08/2008;800;0.0
84;193;31/08/2008;900;0.0
84;193;31/08/2008;1000;0.0
84;193;31/08/2008;1100;0.0
84;193;31/08/2008;1200;0.0
84;193;31/08/2008;1300;0.0
84;193;31/08/2008;1400;0.0
84;193;31/08/2008;1500;0.0
84;193;31/08/2008;1600;0.0
84;193;31/08/2008;1700;0.0
84;193;31/08/2008;1800;0.1
84;193;31/08/2008;1900;0.1
84;193;31/08/2008;2000;0.1
84;193;31/08/2008;2100;0.0
84;193;31/08/2008;2200;0.0
84;193;31/08/2008;2300;0.0
84;193;31/08/2008;2400;0.0
84;193;01/09/2008;100;0.0
84;193;01/09/2008;200;0.0
84;193;01/09/2008;300;0.0
84;193;01/09/2008;400;0.0
84;193;01/09/2008;500;0.0
84;193;01/09/2008;600;0.0
