Cuenca;Estación;Fecha;Hora;Humedad (%)
84;193;04/03/2016;100;68
84;193;04/03/2016;200;67
84;193;04/03/2016;300;69
84;193;04/03/2016;400;70
84;193;04/03/2016;500;71
84;193;04/03/2016;600;71
84;193;04/03/2016;700;69
84;193;04/03/2016;800;58
84;193;04/03/2016;900;50
84;193;04/03/2016;1000;46
84;193;04/03/2016;1100;45
84;193;04/03/2016;1200;46
84;193;04/03/2016;1300;44
84;193;04/03/2016;1400;46
84;193;04/03/2016;1500;54
84;193;04/03/2016;1600;58
84;193;04/03/2016;1700;58
84;193;04/03/2016;1800;65
84;193;04/03/2016;1900;69
84;193;04/03/2016;2000;74
84;193;04/03/2016;2100;69
84;193;04/03/2016;2200;69
84;193;04/03/2016;2300;68
84;193;04/03/2016;2400;66
84;193;05/03/2016;100;64
84;193;05/03/2016;200;67
84;193;05/03/2016;300;71
84;193;05/03/2016;400;68
84;193;05/03/2016;500;68
84;193;05/03/2016;600;70
84;193;05/03/2016;700;67
84;193;05/03/2016;800;57
84;193;05/03/2016;900;52
84;193;05/03/2016;1000;49
84;193;05/03/2016;1100;46
84;193;05/03/2016;1200;43
84;193;05/03/2016;1300;42
84;193;05/03/2016;1400;43
84;193;05/03/2016;1500;46
84;193;05/03/2016;1600;50
84;193;05/03/2016;1700;57
84;193;05/03/2016;1800;66
84;193;05/03/2016;1900;71
84;193;05/03/2016;2000;70
84;193;05/03/2016;2100;73
84;193;05/03/2016;2200;74
84;193;05/03/2016;2300;72
84;193;05/03/2016;2400;76
84;193;06/03/2016;100;73
84;193;06/03/2016;200;73
84;193;06/03/2016;300;74
84;193;06/03/2016;400;74
84;193;06/03/2016;500;76
84;193;06/03/2016;600;76
84;193;06/03/2016;700;73
84;193;06/03/2016;800;63
84;193;06/03/2016;900;51
84;193;06/03/2016;1000;47
84;193;06/03/2016;1100;42
84;193;06/03/2016;1200;42
84;193;06/03/2016;1300;42
84;193;06/03/2016;1400;42
84;193;06/03/2016;1500;43
84;193;06/03/2016;1600;48
84;193;06/03/2016;1700;53
84;193;06/03/2016;1800;62
84;193;06/03/2016;1900;68
